,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight
0,1,Mete Gazoz,TUR,Gold,"Individual, Men",ARC,Male,8 June 1999,181,60
1,2,Mauro Nespoli,ITA,Silver,"Individual, Men",ARC,Male,22 November 1987,181,78
2,3,Takaharu Furukawa,JPN,Bronze,"Individual, Men",ARC,Male,9 August 1984,174,89
3,4,Tang Chih-Chun,TPE,NA,"Individual, Men",ARC,Male,16 March 2001,0,0
4,5,Kim Wu-Jin,KOR,NA,"Individual, Men",ARC,Male,20 June 1992,180,95
5,6,Florian Unruh,GER,NA,"Individual, Men",ARC,Male,7 June 1993,0,0
6,7,Brady Ellison,USA,NA,"Individual, Men",ARC,Male,27 October 1988,181,86
7,8,Li Jialun,CHN,NA,"Individual, Men",ARC,Male,13 January 1993,0,0
8,=9,Ilfat Abdullin,KAZ,NA,"Individual, Men",ARC,Male,9 January 1998,0,0
9,=9,Marcus D’Almeida,BRA,NA,"Individual, Men",ARC,Male,30 January 1998,183,90
10,=9,Atanu Das,IND,NA,"Individual, Men",ARC,Male,5 April 1992,175,79
11,=9,Crispin Duenas,CAN,NA,"Individual, Men",ARC,Male,5 January 1986,172,81
12,=9,Khairul Anuar Bin Mohamad,MAS,NA,"Individual, Men",ARC,Male,22 September 1991,171,75
13,=9,Itay Shanny,ISR,NA,"Individual, Men",ARC,Male,1 September 1998,0,0
14,=9,Taylor Worth,AUS,NA,"Individual, Men",ARC,Male,8 January 1991,174,60
15,=9,Jacob Wukie,USA,NA,"Individual, Men",ARC,Male,11 May 1986,180,73
16,=17,Gijs Broeksma,NED,NA,"Individual, Men",ARC,Male,10 December 1999,0,0
17,=17,Jarno De Smedt,BEL,NA,"Individual, Men",ARC,Male,4 January 2000,0,0
18,=17,Denis Gankin,KAZ,NA,"Individual, Men",ARC,Male,13 December 1989,183,68
19,=17,Pravin Jadhav,IND,NA,"Individual, Men",ARC,Male,6 July 1996,0,0
20,=17,Kim Je-Deok,KOR,NA,"Individual, Men",ARC,Male,12 April 2004,0,0
21,=17,Oh Jin-Hyeok,KOR,NA,"Individual, Men",ARC,Male,15 August 1981,182,100
22,=17,Pierre Plihon,FRA,NA,"Individual, Men",ARC,Male,29 October 1989,184,130
23,=17,Tarundeep Rai,IND,NA,"Individual, Men",ARC,Male,22 February 1984,174,60
24,=17,Riau Ega Agatha,INA,NA,"Individual, Men",ARC,Male,25 November 1991,175,70
25,=17,Mohammed Ruman Shana,BAN,NA,"Individual, Men",ARC,Male,8 June 1995,0,0
26,=17,Ryan Tyack,AUS,NA,"Individual, Men",ARC,Male,2 June 1991,186,102
27,=17,Sjef van den Berg,NED,NA,"Individual, Men",ARC,Male,14 April 1995,183,75
28,=17,Wang Dapeng,CHN,NA,"Individual, Men",ARC,Male,3 December 1996,184,95
29,=17,Wei Chun-Heng,TPE,NA,"Individual, Men",ARC,Male,6 July 1994,180,72
30,=17,Wei Shaoxuan,CHN,NA,"Individual, Men",ARC,Male,22 November 2000,0,0
31,=17,Steve Wijler,NED,NA,"Individual, Men",ARC,Male,19 September 1996,0,0
32,=33,Andrés Aguilar,CHI,NA,"Individual, Men",ARC,Male,7 December 1996,0,0
33,=33,Luis Álvarez,MEX,NA,"Individual, Men",ARC,Male,13 April 1991,174,90
34,=33,Baatarkhuyag Otgonbold,MGL,NA,"Individual, Men",ARC,Male,20 December 1996,0,0
35,=33,Mátyás Balogh,HUN,NA,"Individual, Men",ARC,Male,5 October 1999,0,0
36,=33,David Barnes,AUS,NA,"Individual, Men",ARC,Male,22 February 1986,185,82
37,=33,Galsan Bazarzhapov,ROC,NA,"Individual, Men",ARC,Male,1 November 1994,0,0
38,=33,Daniel Castro,ESP,NA,"Individual, Men",ARC,Male,19 April 1997,0,0
39,=33,Thomas Chirault,FRA,NA,"Individual, Men",ARC,Male,15 September 1997,0,0
40,=33,Nicholas D'amour,ISV,NA,"Individual, Men",ARC,Male,4 September 2001,0,0
41,=33,Areneo David,MAW,NA,"Individual, Men",ARC,Male,6 June 1995,164,58
42,=33,Deng Yu-Cheng,TPE,NA,"Individual, Men",ARC,Male,25 April 1999,0,0
43,=33,Arif Dwi Pangestu,INA,NA,"Individual, Men",ARC,Male,25 March 2004,0,0
44,=33,Tom Hall,GBR,NA,"Individual, Men",ARC,Male,17 September 1990,0,0
45,=33,Mohamed Hammed,TUN,NA,"Individual, Men",ARC,Male,23 September 1987,0,0
46,=33,Jeff Henckels,LUX,NA,"Individual, Men",ARC,Male,30 August 1984,184,65
47,=33,Oleksiy Hunbin,UKR,NA,"Individual, Men",ARC,Male,8 November 1992,0,0
48,=33,Patrick Huston,GBR,NA,"Individual, Men",ARC,Male,5 January 1996,183,84
49,=33,Yuki Kawata,JPN,NA,"Individual, Men",ARC,Male,16 June 1997,0,0
50,=33,Sanzhar Mussayev,KAZ,NA,"Individual, Men",ARC,Male,11 April 1996,0,0
51,=33,Hiroki Muto,JPN,NA,"Individual, Men",ARC,Male,26 June 1997,0,0
52,=33,Sławomir Napłoszek,POL,NA,"Individual, Men",ARC,Male,29 July 1968,185,82
53,=33,Nguyễn Hoàng Phi Vũ,VIE,NA,"Individual, Men",ARC,Male,27 June 1999,0,0
54,=33,Dan Olaru,MDA,NA,"Individual, Men",ARC,Male,11 November 1996,175,70
55,=33,Daniel Piñeda,COL,NA,"Individual, Men",ARC,Male,5 November 1993,186,83
56,=33,Alviyanto Prastyadi,INA,NA,"Individual, Men",ARC,Male,18 February 2002,0,0
57,=33,Žiga Ravnikar,SLO,NA,"Individual, Men",ARC,Male,25 December 1999,0,0
58,=33,Youssof Tolba,EGY,NA,"Individual, Men",ARC,Male,30 January 2001,186,71
59,=33,Jean-Charles Valladont,FRA,NA,"Individual, Men",ARC,Male,20 March 1989,180,83
60,=33,Milad Vaziri,IRI,NA,"Individual, Men",ARC,Male,9 June 1988,184,84
61,=33,Antti Vikström,FIN,NA,"Individual, Men",ARC,Male,15 January 1993,0,0
62,=33,Jack Williams,USA,NA,"Individual, Men",ARC,Male,22 April 2000,0,0
63,=33,James Woodgate,GBR,NA,"Individual, Men",ARC,Male,29 May 2002,0,0
