,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight,Age
0,1,Mete Gazoz,TUR,Gold,"Individual, Men",ARC,Male,1999-06-08,181,60,22
1,2,Mauro Nespoli,ITA,Silver,"Individual, Men",ARC,Male,1987-11-22,181,78,33
2,3,Takaharu Furukawa,JPN,Bronze,"Individual, Men",ARC,Male,1984-08-09,174,89,36
3,4,Tang Chih-Chun,TPE,,"Individual, Men",ARC,Male,2001-03-16,0,0,20
4,5,Kim Wu-Jin,KOR,,"Individual, Men",ARC,Male,1992-06-20,180,95,29
5,6,Florian Unruh,GER,,"Individual, Men",ARC,Male,1993-06-07,0,0,28
6,7,Brady Ellison,USA,,"Individual, Men",ARC,Male,1988-10-27,181,86,32
7,8,Li Jialun,CHN,,"Individual, Men",ARC,Male,1993-01-13,0,0,28
8,=9,Ilfat Abdullin,KAZ,,"Individual, Men",ARC,Male,1998-01-09,0,0,23
9,=9,Marcus D’Almeida,BRA,,"Individual, Men",ARC,Male,1998-01-30,183,90,23
10,=9,Atanu Das,IND,,"Individual, Men",ARC,Male,1992-04-05,175,79,29
11,=9,Crispin Duenas,CAN,,"Individual, Men",ARC,Male,1986-01-05,172,81,35
12,=9,Khairul Anuar Bin Mohamad,MAS,,"Individual, Men",ARC,Male,1991-09-22,171,75,29
13,=9,Itay Shanny,ISR,,"Individual, Men",ARC,Male,1998-09-01,0,0,22
14,=9,Taylor Worth,AUS,,"Individual, Men",ARC,Male,1991-01-08,174,60,30
15,=9,Jacob Wukie,USA,,"Individual, Men",ARC,Male,1986-05-11,180,73,35
16,=17,Gijs Broeksma,NED,,"Individual, Men",ARC,Male,1999-12-10,0,0,21
17,=17,Jarno De Smedt,BEL,,"Individual, Men",ARC,Male,2000-01-04,0,0,21
18,=17,Denis Gankin,KAZ,,"Individual, Men",ARC,Male,1989-12-13,183,68,31
19,=17,Pravin Jadhav,IND,,"Individual, Men",ARC,Male,1996-07-06,0,0,25
20,=17,Kim Je-Deok,KOR,,"Individual, Men",ARC,Male,2004-04-12,0,0,17
21,=17,Oh Jin-Hyeok,KOR,,"Individual, Men",ARC,Male,1981-08-15,182,100,39
22,=17,Pierre Plihon,FRA,,"Individual, Men",ARC,Male,1989-10-29,184,130,31
23,=17,Tarundeep Rai,IND,,"Individual, Men",ARC,Male,1984-02-22,174,60,37
24,=17,Riau Ega Agatha,INA,,"Individual, Men",ARC,Male,1991-11-25,175,70,29
25,=17,Mohammed Ruman Shana,BAN,,"Individual, Men",ARC,Male,1995-06-08,0,0,26
26,=17,Ryan Tyack,AUS,,"Individual, Men",ARC,Male,1991-06-02,186,102,30
27,=17,Sjef van den Berg,NED,,"Individual, Men",ARC,Male,1995-04-14,183,75,26
28,=17,Wang Dapeng,CHN,,"Individual, Men",ARC,Male,1996-12-03,184,95,24
29,=17,Wei Chun-Heng,TPE,,"Individual, Men",ARC,Male,1994-07-06,180,72,27
30,=17,Wei Shaoxuan,CHN,,"Individual, Men",ARC,Male,2000-11-22,0,0,20
31,=17,Steve Wijler,NED,,"Individual, Men",ARC,Male,1996-09-19,0,0,24
32,=33,Andrés Aguilar,CHI,,"Individual, Men",ARC,Male,1996-12-07,0,0,24
33,=33,Luis Álvarez,MEX,,"Individual, Men",ARC,Male,1991-04-13,174,90,30
34,=33,Baatarkhuyag Otgonbold,MGL,,"Individual, Men",ARC,Male,1996-12-20,0,0,24
35,=33,Mátyás Balogh,HUN,,"Individual, Men",ARC,Male,1999-10-05,0,0,21
36,=33,David Barnes,AUS,,"Individual, Men",ARC,Male,1986-02-22,185,82,35
37,=33,Galsan Bazarzhapov,ROC,,"Individual, Men",ARC,Male,1994-11-01,0,0,26
38,=33,Daniel Castro,ESP,,"Individual, Men",ARC,Male,1997-04-19,0,0,24
39,=33,Thomas Chirault,FRA,,"Individual, Men",ARC,Male,1997-09-15,0,0,23
40,=33,Nicholas D'amour,ISV,,"Individual, Men",ARC,Male,2001-09-04,0,0,19
41,=33,Areneo David,MAW,,"Individual, Men",ARC,Male,1995-06-06,164,58,26
42,=33,Deng Yu-Cheng,TPE,,"Individual, Men",ARC,Male,1999-04-25,0,0,22
43,=33,Arif Dwi Pangestu,INA,,"Individual, Men",ARC,Male,2004-03-25,0,0,17
44,=33,Tom Hall,GBR,,"Individual, Men",ARC,Male,1990-09-17,0,0,30
45,=33,Mohamed Hammed,TUN,,"Individual, Men",ARC,Male,1987-09-23,0,0,33
46,=33,Jeff Henckels,LUX,,"Individual, Men",ARC,Male,1984-08-30,184,65,36
47,=33,Oleksiy Hunbin,UKR,,"Individual, Men",ARC,Male,1992-11-08,0,0,28
